,K00003,K00016,K00024,K00025,K00026,K00031,K00032,K00033,K00036,K00058,K00133,K00259,K00260,K00299,K00310,K00380,K00381,K00383,K00385,K00386,K00387,K00390,K00392,K00394,K00395,K00432,K00434,K00456,K00485,K00544,K00547,K00548,K00549,K00558,K00625,K00640,K00641,K00651,K00659,K00681,K00682,K00772,K00789,K00797,K00799,K00802,K00811,K00812,K00813,K00815,K00816,K00826,K00827,K00831,K00832,K00837,K00838,K00860,K00899,K00925,K00928,K00955,K00956,K00957,K00958,K00988,K01011,K01082,K01243,K01244,K01251,K01255,K01256,K01270,K01460,K01469,K01505,K01580,K01581,K01611,K01697,K01738,K01739,K01740,K01752,K01758,K01760,K01761,K01762,K01767,K01833,K01917,K01919,K01920,K02045,K02046,K02047,K02048,K02439,K03119,K03334,K03423,K03851,K03852,K04091,K04097,K04283,K05301,K05360,K05361,K05396,K05810,K05907,K05908,K05933,K05953,K06048,K06881,K07160,K07173,K07232,K07255,K07256,K07306,K07307,K07308,K07751,K08352,K08353,K08354,K08357,K08358,K08359,K08963,K08964,K08965,K08966,K08967,K08968,K08969,K09758,K09880,K10150,K10712,K10764,K10807,K10808,K10831,K11140,K11142,K11180,K11181,K11185,K11186,K11188,K11204,K11205,K11207,K11358,K12339,K12524,K12525,K12526,K12960,K13034,K13060,K13061,K13062,K13299,K13788,K13811,K14155,K14454,K14455,K15024,K15371,K15372,K15373,K15422,K15428,K15515,K15551,K15552,K15553,K15554,K15555,K15759,K15762,K15765,K16054,K16843,K16844,K16845,K16846,K16936,K16937,K16950,K16951,K16952,K16953,K16954,K16955,K16964,K16965,K16966,K16967,K16968,K16969,K17069,K17216,K17217,K17218,K17219,K17220,K17221,K17222,K17223,K17224,K17225,K17226,K17227,K17228,K17229,K17230,K17285,K17398,K17399,K17462,K17486,K17950,K17989,K17993,K17994,K17995,K17996,K18284,K18592,K18966,K19244,K19696,K19699,K20021,K20034,K20035,K20036,K20248,K20249,K20250,K20772,K20838,K21307,K21308,K21309,K21310,K21456,K21613,K21888,K22207,K22470,K22596,K22622,K22846,K22847,K22954,K22955,K22956,K22957,K22966,K22968,K23123,K23124,K23163,K23304,K23370,K23790,K23975,K23976,K23977,K24034,K24042,K24136,K24137,K24138,K25035,K25210,K25261,K25262,K25316,K25317,K25985,K26005,Sphere_number
GCA_002581925.1,3,4,1,0,0,1,0,3,1,2,2,4,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,2,0,0,0,1,0,0,0,2,0,1,0,0,0,1,2,1,2,0,0,0,1,0,1,0,4,0,0,1,0,1,0,0,0,0,0,2,0,2,1,1,4,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,4
GCF_014196405.1,1,0,1,0,0,1,0,2,2,1,1,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,2,0,1,1,0,0,2,0,0,1,0,9,0,0,2,0,0,0,1,0,1,0,0,0,1,0,0,1,1,2,2,0,0,1,1,0,0,1,2,1,0,0,0,0,0,2,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
GCF_001477265.1,1,0,0,0,0,0,1,1,2,2,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,1,1,0,0,4,1,0,0,3,0,0,1,1,11,0,0,1,0,0,0,2,0,1,1,0,0,0,0,0,1,1,1,1,0,0,2,1,0,0,1,1,1,0,0,0,2,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,4,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5
GCA_006717025.1,1,1,1,0,0,0,0,2,3,2,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,2,0,1,1,0,0,2,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,2,2,0,0,2,1,0,0,1,1,2,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
GCF_900095735.1,1,0,1,0,0,1,0,1,1,2,1,0,0,2,0,1,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,2,2,1,1,2,1,0,0,2,0,0,1,1,11,0,0,0,0,0,0,1,0,1,2,0,0,0,0,1,1,0,1,1,0,0,4,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
GCA_008000915.1,2,1,1,0,0,1,0,1,1,1,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,2,0,0,1,0,10,0,0,1,0,0,0,2,0,1,0,0,0,0,0,1,1,0,1,1,0,0,1,1,0,0,1,2,1,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
GCA_002568655.1,3,3,1,0,0,1,0,1,1,2,1,3,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,1,2,0,0,0,1,0,0,0,2,0,1,0,0,0,1,2,1,2,0,0,0,1,0,1,0,4,0,0,1,0,1,0,0,0,0,0,2,0,2,1,1,4,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,4
GCF_002879615.1,1,0,1,0,0,1,1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,2,3,2,0,0,2,0,0,2,0,10,0,0,0,1,0,0,2,0,1,0,0,0,0,0,2,1,0,1,1,0,0,4,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,2,2,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,1
GCF_003718335.1,0,0,0,0,0,1,0,1,1,1,2,0,0,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,4,1,0,2,1,1,0,1,0,0,1,1,11,0,0,2,1,0,0,1,0,2,1,0,0,1,1,1,1,0,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,0,0,1,1,1,1,0,2,1,3,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,3,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
GCF_014198555.1,1,0,1,0,0,1,0,1,1,1,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,4,0,1,0,1,0,2,1,0,1,0,9,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,2,1,0,0,1,2,1,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,1,2,2,2,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
